ObjectId,kod,nazev,datum_exportu,GlobalID,SHAPE_Length
95,30619,Půvabná,2023/09/21 00:00:00+00,{84FD9BFC-5397-4DD9-A552-EAF373C32421},0.00131058442073976
96,21466,Bodlákova,2023/09/21 00:00:00+00,{82C76644-3241-4557-B59C-013CCCF3F3E1},0.0036030692954798
97,736392,Koreisova,2023/09/21 00:00:00+00,{01E955FF-0231-4C38-AA9D-FA62CF5E9E10},0.00350251539169203
98,768511,Novodvorská,2023/09/21 00:00:00+00,{468CE3DB-B85E-4B82-89EE-EFF4682A88EF},0.00253420654880747
99,801038,Firemní,2023/09/21 00:00:00+00,{BE2A536B-C95D-4FBC-AB5F-A8E0D110329A},0.00275530493585376
100,29963,Pohankova,2023/09/21 00:00:00+00,{A632D7BD-856E-410A-ADCC-C37452645AE7},0.00195619940500548
101,21326,Běly Pažoutové,2023/09/21 00:00:00+00,{4B9DCED9-AE47-424D-AA71-D578AB4442A8},0.00288821060868869
102,29106,Ondřeje Veselého,2023/09/21 00:00:00+00,{24309FDF-79E9-478E-8D6C-32839824DBC0},0.0018968456450099
103,23752,Haškova,2023/09/21 00:00:00+00,{E679B9BC-1D77-424D-8247-9713B2F358AA},0.00465059865244653
104,660426,Kolmá,2023/09/21 00:00:00+00,{C43428A5-CC1B-471D-AB0F-3BFE9E431446},0.000878398562769384
105,660434,Řečkovická,2023/09/21 00:00:00+00,{3C823399-50FF-4460-BA2F-5D16FCBD667C},0.00642930413693252
106,22373,Cyrilská,2023/09/21 00:00:00+00,{DD19D17F-1204-49ED-82DC-F6857F43E049},0.00387348433529166
107,35114,Výšina,2023/09/21 00:00:00+00,{43165F9C-16EE-41FF-A169-4B63DA66E085},0.00169899626571684
108,695190,Fedrova,2023/09/21 00:00:00+00,{95877BE1-0045-455D-B53A-E484BC9DA3A7},0.00326341283179822
109,33693,U dráhy,2023/09/21 00:00:00+00,{26872023-E98E-448D-8F85-97922123C7C7},0.00149085201365612
110,31305,Sadovského,2023/09/21 00:00:00+00,{F1E7BA14-EC5E-47F2-B4DF-B8D6FF3F50B0},0.0015022166454988
111,3031225,Fuchsova,2023/09/21 00:00:00+00,{7B1163FD-F13E-4FC1-BFD6-EAFE227DD4C1},0.00890761468786715
112,37044,Tyršův sad,2023/09/21 00:00:00+00,{461EA1E2-8C74-41A5-B6F3-E238231C0A60},9.9999965641473e-08
113,30945,Pflegrova,2023/09/21 00:00:00+00,{BCDAA41B-83AD-4E89-A850-FB94C10CA140},0.00293615872712491
114,33120,Tenorova,2023/09/21 00:00:00+00,{73DD8893-F334-47CC-B75A-8869AF52BB95},0.00300424413850979
115,35742,Zubatého,2023/09/21 00:00:00+00,{700B0410-5B6A-47BD-A2E1-5AEFB7D684C8},0.00167416691223082
116,26387,Kremličkova,2023/09/21 00:00:00+00,{B72DB4F3-98B0-4427-84F4-A1C9CF16AC52},0.00138649021140803
117,28908,Novotného,2023/09/21 00:00:00+00,{8B57AAD0-67BA-46C9-B8E5-7B91A7E073A5},0.00236199735884838
118,24155,Holzova,2023/09/21 00:00:00+00,{B2B29579-C33C-4F05-B71A-0B70DADBA335},0.0182755447067306
119,24571,Jahodová,2023/09/21 00:00:00+00,{4F2D8799-DFF9-44B7-A479-EDE6883A1EAB},0.00580752931813572
120,21113,Barvy,2023/09/21 00:00:00+00,{0AFEBD07-20A4-4E10-8179-FE567B707046},0.00718688927031941
121,24872,Jeřabinová,2023/09/21 00:00:00+00,{56EA13FB-7B0D-450A-B861-6250C11B5B16},0.0035986458658372
122,801054,Moutnická,2023/09/21 00:00:00+00,{18D6166B-2C0A-462B-AED3-19E8F2104405},0.0019183097403751
123,23141,Elišky Přemyslovny,2023/09/21 00:00:00+00,{05EFA75F-22CA-49DC-91A4-65E84B0A8234},0.00888968533633984
124,33553,Třískalova,2023/09/21 00:00:00+00,{0F846658-4008-4187-9BEA-063659CB0D67},0.00914659511986059
125,26093,Košťálová,2023/09/21 00:00:00+00,{68774EE9-5CFC-4545-B6DB-2BA47CAC034C},0.0020867121723066
126,25551,Klácelova,2023/09/21 00:00:00+00,{587C5308-C0A8-4F1F-AFE6-AD5B5A614E07},0.00257068610009927
127,33821,U vlečky,2023/09/21 00:00:00+00,{6ACC637A-1FC7-4C00-B743-120DE8199EE8},0.00213871653866738
128,36293,Mečířova,2023/09/21 00:00:00+00,{56008874-1211-4840-A10B-73CA12D128A0},0.00416823431374214
129,27944,Mikulčická,2023/09/21 00:00:00+00,{FD6D25A8-3E80-4339-94D6-8D18657C2127},0.00640011311737764
130,22225,Chmelnice,2023/09/21 00:00:00+00,{46318545-530A-4AF7-B593-CF57B08CFC90},0.00505707660606129
131,25593,Klicperova,2023/09/21 00:00:00+00,{C6E6F58A-4BFC-4F5D-99EC-C7DACFDBC982},0.00276021419414835
132,34878,Tuřanské náměstí,2023/09/21 00:00:00+00,{9D2062F5-7774-4E19-B824-EE92AD762CDE},0.00745880754006873
133,20974,Arménská,2023/09/21 00:00:00+00,{540EC5BC-1581-47EE-A13E-7EDDAD73C71C},0.00344439021774806
134,30538,Pšeník,2023/09/21 00:00:00+00,{37C13EE0-8CCF-4052-BAFD-7BBB17F4B1C8},0.00192579273974007
135,25569,Klášterského,2023/09/21 00:00:00+00,{E1523382-6BA8-432B-BDED-5A16E5536B5D},0.00284379517463366
136,2760398,Martinelliho,2023/09/21 00:00:00+00,{9D17DE2F-C9AD-48ED-8C9B-2747B01D564D},0.002681595999877
137,33529,Benešova,2023/09/21 00:00:00+00,{FF9D5191-C5F5-4A5B-A8A0-CC78E3DCD360},0.00452593662636098
138,21890,Buchtova,2023/09/21 00:00:00+00,{A7901C86-8490-44FB-A753-28A7791F41E4},0.000852134320070521
139,28410,Navrátilova,2023/09/21 00:00:00+00,{950FDAE8-CE1B-427E-8F47-BD390F5C21FF},0.00267050096716926
140,32905,Šrámkova,2023/09/21 00:00:00+00,{92E10D20-C122-451E-B673-AD0020BCC089},0.00390002338977176
141,36692,Porážka,2023/09/21 00:00:00+00,{0444A8B8-964C-4267-B8DD-B4A1A22A7F4E},0.00262276875647461
142,25305,Kameníčkova,2023/09/21 00:00:00+00,{4F9602C9-52E2-4684-ACA3-1B08ED9EBEB0},0.00308009121097094
143,21016,Axmanova,2023/09/21 00:00:00+00,{0BC6962C-A231-4445-A9C0-1A5A34B3FD2D},0.00434816588802961
144,660558,Drčkova,2023/09/21 00:00:00+00,{C42172D1-D148-44C0-AE86-1C0AF836C079},0.0176269219803718
145,25097,Jelení,2023/09/21 00:00:00+00,{7AA36618-6521-435B-A4D9-EA51C6165105},0.000789903699138358
146,736376,Pilařova,2023/09/21 00:00:00+00,{5AD57090-CA87-47EE-9DF0-44CCD8F2550D},0.00152085662707835
147,37141,Veletržní,2023/09/21 00:00:00+00,{55EBDCD0-0820-4897-B6B6-11D4EB176C50},0.00529380923882204
148,28151,Mostecká,2023/09/21 00:00:00+00,{7E20E71B-09FA-4BB5-B0CF-2EFD0CC95E56},0.00240725091687363
149,29289,Ovčírna,2023/09/21 00:00:00+00,{BD82EDF6-E863-4931-B2D4-36849ED215D2},0.000980126262445046
150,22420,Čejkovická,2023/09/21 00:00:00+00,{053C8F3F-F7B0-49C2-9C63-EF58AB8FEED3},0.0056655253899816
151,700061,Vomáčkova,2023/09/21 00:00:00+00,{C88F43B9-2951-4946-B214-FA035A006F4D},0.00329420599905378
152,1384783,Brněnky,2023/09/21 00:00:00+00,{7EB23CC4-8D5D-4894-AB03-EE10EC6F185B},0.00510860750748702
153,34509,Větrná,2023/09/21 00:00:00+00,{6E0E39F3-E80A-485C-B999-A94A9DEA3371},0.00526036202983767
154,26981,Lesní,2023/09/21 00:00:00+00,{9FE1B326-4DE6-482C-ACE5-EF04F05EAECF},0.00156178244236525
155,21105,Barvičova,2023/09/21 00:00:00+00,{052D471D-CA14-4E4C-8133-6597CFE8F467},0.0136999152991884
156,29874,Podolská,2023/09/21 00:00:00+00,{7BBB0688-0B17-4854-8A11-6A2FC0E46079},0.00749846331952521
157,24384,Hrušňová,2023/09/21 00:00:00+00,{B7F4FC31-A91B-43CE-A2CC-A651F33F9741},0.00215630665925987
158,24708,Jasanová,2023/09/21 00:00:00+00,{CCF694CA-4D7C-4733-8D6C-8210F3BA8161},0.00591566606498837
159,26336,Královka,2023/09/21 00:00:00+00,{E0EBD29F-4FA2-47F6-9F51-5D08BB604493},0.00262308746090538
160,35084,Výsluní,2023/09/21 00:00:00+00,{484DC60B-A385-4F2C-9862-6360BC6EA85C},0.00194551711818043
161,34461,Veselka,2023/09/21 00:00:00+00,{02D0783C-741A-4C7C-B481-98A9B59F65C4},0.00260121797541744
162,23027,Dvorecká,2023/09/21 00:00:00+00,{0B378315-70B2-4B61-AAC1-01E8FA9906AE},0.0059039799514713
163,768545,Hradlová,2023/09/21 00:00:00+00,{6C2194FB-D888-403C-BFC9-E25D8DDCF4AC},0.00238340655250675
164,26417,Konečného náměstí,2023/09/21 00:00:00+00,{9AFCB894-413F-41D1-B986-049BCABE224B},0.0022086468022756
165,31593,Skřivanova,2023/09/21 00:00:00+00,{22BC2AD0-2D81-48EF-9138-93F6583D765C},0.00326496757475482
166,33260,Tišnovská,2023/09/21 00:00:00+00,{DDEFC425-2BB2-4190-9D68-1AE34E252B31},0.00980000986410493
167,22799,Domažlická,2023/09/21 00:00:00+00,{269B0E16-4CB8-476D-B68D-B6FEC66316BA},0.00449352082473224
168,22209,Chlumy,2023/09/21 00:00:00+00,{6AC99D16-50AD-4907-9EED-23D59F36990A},0.00550700044584104
169,25011,Jílkova,2023/09/21 00:00:00+00,{5714DBC3-753C-46BF-BE34-73E7CE6DD2FC},0.0156571312279553
170,1384546,Jarmily Kurandové,2023/09/21 00:00:00+00,{B1037332-81D3-4118-A3A2-BC04A8984F45},0.00579681205150269
171,31739,Slevačská,2023/09/21 00:00:00+00,{EC299778-931A-4E1E-A05C-F3B9549716F7},0.00312052885131098
172,768634,Vlaštovčí,2023/09/21 00:00:00+00,{B2F4D6DF-D98C-474D-9A8A-4A081527545F},0.00304913739764431
173,35602,Zelný trh,2023/09/21 00:00:00+00,{B7AA9F44-FADC-4343-8B65-D5EF8C7EDE90},0.0063695119824297
174,29602,Pivodova,2023/09/21 00:00:00+00,{DDECC843-A9A1-40F8-AF57-5336A0AED07B},0.00148194462786231
175,23647,Habrová,2023/09/21 00:00:00+00,{0FED9105-C8AA-4843-B98F-1877020359D4},0.00348350185396651
176,23442,Fügnerova,2023/09/21 00:00:00+00,{EF36304A-873B-4AAA-BD08-13811EAC63DE},0.0100345379407158
177,33669,Tylova,2023/09/21 00:00:00+00,{85DEC36A-0850-41D5-B89D-6CAC2E853AD6},0.00275482972269284
178,29904,Podsedky,2023/09/21 00:00:00+00,{F0781A2E-D8C2-45D9-BFC2-C79A9E32DDDD},0.00219901847171479
179,34096,Uprkova,2023/09/21 00:00:00+00,{79F1AB82-044F-4962-AF5A-473952BFF742},0.00331165487099796
180,22071,Celní,2023/09/21 00:00:00+00,{5C86C760-7FF4-4689-AC45-319B9D605EE1},0.00308932538567417
181,2494051,U Radaru,2023/09/21 00:00:00+00,{FE2B0936-E20D-4048-BC39-30E7DEFC7539},0.00145534797727279
182,26638,Kubova,2023/09/21 00:00:00+00,{CDEBD14C-C9AE-4D87-9C8F-922CB00ECDB0},0.00183833733010965
183,34894,Vrbí,2023/09/21 00:00:00+00,{92E7F53B-75AA-46B3-9BEF-220FD30D165C},0.00324273058175425
184,24325,Hrnčířská,2023/09/21 00:00:00+00,{3C653833-9708-4430-AE4A-6634F70F522A},0.0113253709631557
185,32999,Štursova,2023/09/21 00:00:00+00,{1B03CF0E-DDDB-46D3-B946-6B3C7F4350C1},0.00511685849726896
186,23311,Fleischnerova,2023/09/21 00:00:00+00,{48D328B2-13E5-4AF8-802C-8BB88F843FAD},0.00583474150451175
187,23302,Fišova,2023/09/21 00:00:00+00,{DB65BA73-B39F-4335-96A2-4B13BA56B045},0.00306558599355405
188,25259,Kallabova,2023/09/21 00:00:00+00,{921818B6-0090-47F2-BE1B-F756334F6522},0.00210976557217512
189,29157,Optátova,2023/09/21 00:00:00+00,{F1782603-50B4-4485-8E71-A9E818EB6901},0.00641356060661237
190,35645,Zengrova,2023/09/21 00:00:00+00,{D1DB3D16-A6F0-4E83-A855-A28315315183},0.00163263586490452
191,2760762,Elišky Junkové,2023/09/21 00:00:00+00,{D2F7A01A-4540-41BA-A8E7-BE97478A948A},0.00434428691209585
192,679011,Majdalenky,2023/09/21 00:00:00+00,{8C6FA47D-7C0F-4C37-B694-66120E379E43},0.00641030671607155
193,24546,Jablonského,2023/09/21 00:00:00+00,{DDEE4F6D-4162-41DC-93A4-E23910DB7E26},0.0015611821882341
194,29866,Podnásepní,2023/09/21 00:00:00+00,{6B7A6493-B4E7-4A9A-8F72-E329898251A5},0.00314427800761191
195,804771,Pluháčkova,2023/09/21 00:00:00+00,{EA7F6561-C5C8-4832-8200-182D8B3C1979},0.00172406913702651
196,22578,Čtvery hony,2023/09/21 00:00:00+00,{988B1A2A-59E3-40BE-9019-843167D0444A},0.000975929714217625
197,27537,Martina Ševčíka,2023/09/21 00:00:00+00,{953CF54F-D90D-4790-9411-C10CD66CAD5C},0.00335898207480902
198,35831,Žerotínovo náměstí,2023/09/21 00:00:00+00,{67927D99-1A68-43FC-9142-99C584040374},0.00521917757895754
199,21911,Budínská,2023/09/21 00:00:00+00,{F78C237E-B170-490F-8328-F4475C0884A9},0.00298231586892873
200,25917,Komprdova,2023/09/21 00:00:00+00,{3AC84586-4B65-4D2F-92F2-6309FF2693CD},0.00225948866222349
201,678996,U kaple,2023/09/21 00:00:00+00,{96EA34FB-69AC-43D6-A859-509A98154FC4},0.00106207955882415
202,34169,V rejích,2023/09/21 00:00:00+00,{E2652086-2987-47BE-8886-B8DC1A8780B6},0.00536525330226333
203,36501,Ostružinová,2023/09/21 00:00:00+00,{599B6FD0-5EA3-45DB-8163-0B2EADBCB974},0.00215661916293578
204,27481,Marie Pujmanové,2023/09/21 00:00:00+00,{D08CF47F-44FE-47F0-8324-B5D4573EBACA},0.00330802836561556
205,22934,Dřevařská,2023/09/21 00:00:00+00,{B5D5B29A-E3B9-4AE2-B8E6-3488CE3F5456},0.00443829677844072
206,34690,Vodařská,2023/09/21 00:00:00+00,{B1AA6971-6AFB-4334-89CF-0C28E89A620E},0.00493737765951502
207,23418,Fričova,2023/09/21 00:00:00+00,{D9ECE918-8A79-4C10-AFD7-9E7344237B19},0.000880431474450841
208,28657,Náplavka,2023/09/21 00:00:00+00,{58D13D9F-BBBC-44BD-A612-84A676B8C1B9},0.00199071823763994
209,32514,Svitavská,2023/09/21 00:00:00+00,{C9A5B175-08C1-49E0-A69D-01B27D3B4DFA},0.00474463334813243
210,2006537,Miry Figarové,2023/09/21 00:00:00+00,{C5C32E2B-8173-472E-9BE3-5A5AB6098709},0.00331415783182169
211,32654,Šeříková,2023/09/21 00:00:00+00,{CEB241B6-020E-4B09-97DB-021FC8DC0B26},0.00766372220421448
212,32077,Spodní,2023/09/21 00:00:00+00,{EB5F657A-6129-42A1-9976-1E077F06EC9C},0.00256525582880659
